"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","Concrete.compressive.strength.MPa..megapascals.."
424,22,132,168,8.9,822,750,56,74.36
255,0,0,192,0,889.8,945,3,8.2
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
198.6,132.4,0,192,0,978.4,825.5,3,9.13
277.1,0,97.4,160.6,11.8,973.9,875.6,56,51.04
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
326,166,0,174,9,882,790,28,61.23
393,0,0,192,0,940,758,3,19.11
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,47.4
359,19,141,154,10.9,942,801,7,35.75
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
200,0,0,180,0,1125,845,28,12.25
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
380,0,0,228,0,932,670,180,53.1
325,0,0,184,0,1063,783,7,17.54
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
140,164,128,237,6,869,656,28,35.23
145,0,134,181,11,979,812,28,13.2
469,117.2,0,137.8,32.2,852.1,840.5,7,54.9
295.7,0,95.6,171.5,8.9,955.1,859.2,56,48.72
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,67.7
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
446,24,79,162,11.6,967,712,7,39.3
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
198.6,132.4,0,192,0,978.4,825.5,90,38.07
321.3,164.2,0,190.5,4.6,870,774,28,57.22
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
491,26,123,201,3.9,822,699,56,61.86
192,288,0,192,0,929.8,716.1,3,12.79
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
304,76,0,228,0,932,670,90,49.19
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
480,0,0,192,0,936.2,712.2,90,54.32
296,0,0,186,0,1090,769,7,18.91
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
266,114,0,228,0,932,670,90,47.03
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
359,19,141,154,10.9,942,801,56,66.78
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
260,101,78,171,10,936,763,28,49.77
296,0,0,192,0,1085,765,90,29.39
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
385,0,0,186,0,966,763,28,31.35
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
400,0,0,187,0,1025,745,28,43.7
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
147,115,89,202,9,860,829,28,19.99
387,20,94,157,14.3,938,845,3,22.75
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
393,0,0,192,0,940,758,90,48.79
310,142.8,0,167.9,10,914.3,804,28,45.3
160,128,122,182,6.4,824,879,28,39.4
139.6,209.4,0,192,0,1047,806.9,7,14.59
389.9,189,0,145.9,22,944.7,755.8,91,82.6
339,0,0,197,0,968,781,3,13.22
304,76,0,228,0,932,670,270,54.38
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
150,237,0,174,12,1069,675,28,37.43
321,164,0,190,5,870,774,28,57.21
277,0,0,191,0,968,856,360,33.7
389.9,189,0,145.9,22,944.7,755.8,28,74.5
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
146,173,0,182,3,986,817,28,23.74
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
342,38,0,228,0,932,670,270,55.06
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
157,214,152,200,9,819,704,28,33.05
238.1,0,94.1,186.7,7,949.9,847,3,19.93
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
387,20,94,157,14.3,938,845,28,50.24
446,24,79,162,10.3,967,712,28,53.39
331,0,0,192,0,978,825,3,13.52
500,0,0,140,4,966,853,28,67.57
366,187,0,191.3,6.6,824.3,756.9,28,65.91
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
139.6,209.4,0,192,0,1047,806.9,90,39.36
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
331,0,0,192,0,1025,821,90,37.91
116,173,0,192,0,909.8,891.9,3,6.28
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
203.5,305.3,0,203.5,0,963.4,630,90,51.86
375,0,0,186,0,1038,758,28,38.21
359,19,141,154,10.9,942,801,7,38.61
312.7,0,0,178.1,8,999.7,822.2,28,25.1
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
393,0,0,192,0,940.6,785.6,3,19.2
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51
446,24,79,162,11.6,967,712,3,23.35
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
337.9,189,0,174.9,9.5,944.7,755.8,91,67.8
237.5,237.5,0,228,0,932,594,270,38.41
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
190,190,0,228,0,932,670,180,46.93
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89
290.4,0,96.2,168.1,9.4,961.2,865,56,45.08
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
139.6,209.4,0,192,0,1047,806.9,360,44.7
162,190,148,179,19,838,741,28,33.76
313,145,0,127,8,1000,822,28,44.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
302,0,0,203,0,974,817,14,18.13
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
135,0,166,180,10,961,805,28,13.29
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
349,0,0,192,0,1047,806,3,14.99
310,143,111,168,22,914,651,28,33.69
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
173,116,0,192,0,946.8,856.8,90,32.1
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
427.5,47.5,0,228,0,932,594,270,43.01
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
144,15,195,176,6,1021,709,28,15.34
380,95,0,228,0,932,594,365,43.7
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
305.3,203.5,0,203.5,0,965.4,631,90,54.6
349,0,0,192,0,1056,809,3,15.87
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
304,140,0,214,6,895,722,28,33.42
277.1,0,97.4,160.6,11.8,973.9,875.6,14,41.89
322,149,0,186,8,951,709,28,52.42
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
157,236,0,192,0,935.4,781.2,28,33.66
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
236,0,0,194,0,968,885,28,18.42
500,0,0,151,9,1033,655,28,69.84
425,106.3,0,151.4,18.6,936,803.7,7,46.8
238,0,0,186,0,1119,789,28,17.54
154,174,185,228,7,845,612,28,24.34
153,102,0,192,0,888,943.1,3,4.78
540,0,0,173,0,1125,613,180,71.62
298,0,107,210,11,880,744,28,31.87
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
212,141.3,0,203.5,0,973.4,750,28,33
284,15,141,179,5.5,842,801,7,24.13
298.1,0,107,186.4,6.1,879,815.2,28,42.64
153,145,113,178,8,867,824,28,26.23
528,0,0,185,6.9,920,720,28,56.83
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
382,0,0,186,0,1047,739,28,37.42
277,116.8,91,190.6,7,946.5,665.6,28,43.58
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
491,26,123,210,3.9,882,699,3,25.61
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
198.6,132.4,0,192,0,978.4,825.5,28,28.02
160,250,0,168,12,1049,688,28,39.45
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
146,230,0,202,3,827,872,28,33.06
102,153,0,192,0,887,942,7,7.68
380,95,0,228,0,932,594,28,36.45
387,20,94,157,11.6,938,845,3,34.77
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
310,0,0,192,0,970,850,90,34.68
475,0,0,228,0,932,594,7,38.6
266,114,0,228,0,932,670,28,45.85
140,133,103,200,7,916,753,28,36.44
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
289,0,0,192,0,913.2,895.3,3,11.65
148,0,137,158,16,1002,830,28,17.95
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.9
183.9,122.6,0,203.5,0,959.2,800,3,4.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.8
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
540,0,0,173,0,1125,613,14,59.76
298,0,107,186,6,879,815,28,42.64
281,0,0,186,0,1104,774,7,14.5
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06
322,0,0,203,0,974,800,28,25.18
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
485,0,0,146,0,1120,800,28,71.99
262,111,86,195,5,895,733,28,33.72
313,0,0,178,8,1000,822,28,25.1
202,11,141,206,1.7,942,801,7,15.07
480,0,0,192,0,936,721,3,24.39
167,187,195,185,7,898,636,28,23.89
310,0,0,192,0,1012,830,3,11.85
331,0,0,192,0,1025,821,7,17.44
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
298,0,107,164,13,953,784,28,35.86
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
424,22,132,178,8.5,882,750,3,32.01
134.7,0,165.7,180.2,10,961,804.9,28,13.29
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
133,210,0,196,3,949,795,28,31.03
190,190,0,228,0,932,670,90,42.33
393,0,0,192,0,940.6,785.6,7,27.74
540,0,0,173,0,1125,613,28,67.31
108.3,162.4,0,203.5,0,938.2,849,90,29.23
144,170,133,192,8,814,805,28,29.87
313,145,0,178,8,1002,689,28,41.05
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
289,134,0,195,6,924,760,28,46.24
304,76,0,228,0,932,670,180,50.95
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
295.7,0,95.6,171.5,8.9,955.1,859.2,100,52.04
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
139.6,209.4,0,192,0,1047,806.9,180,44.21
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
145,116,119,184,5.7,833,880,28,29.16
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
296,0,0,192,0,1085,765,7,14.2
446,24,79,162,11.6,967,712,3,35.36
296,0,0,186,0,1090,769,28,25.18
300,0,120,212,10,878,728,28,23.84
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
108.3,162.4,0,203.5,0,938.2,849,7,7.72
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
325,0,0,184,0,1063,783,28,30.57
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93
302,0,0,203,0,974,817,28,21.75
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.7
234,156,0,189,5.9,981,760,28,39.3
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,51.33
375,93.8,0,126.6,23.4,852.1,992.6,56,60.2
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
236,0,0,194,0,968,885,3,6.47
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
359,19,141,154,10.9,942,801,3,23.64
427.5,47.5,0,228,0,932,594,180,41.84
359,19,141,154,10.9,942,801,28,62.94
143,169,143,191,8,967,643,28,29.72
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
387,20,94,157,13.9,938,845,56,47.97
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
475,0,0,228,0,932,594,28,39.29
475,0,0,228,0,932,594,270,42.13
540,0,0,162,2.5,1055,676,28,61.89
305,0,100,196,10,959,705,28,30.12
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
446,24,79,162,11.6,967,712,56,61.07
376,0,0,214.6,0,1003.5,762.4,14,25.62
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
192,288,0,192,0,929.8,716.1,7,21.48
397,0,0,185.7,0,1040.6,734.3,7,25.45
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
136,162,126,172,10,923,764,28,29.07
385,0,0,186,0,966,763,3,14.7
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
540,0,0,173,0,1125,613,3,41.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
540,0,0,173,0,1125,613,7,52.61
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,56.74
349,0,0,192,0,1047,806,180,41.05
298,137,107,201,6,878,655,28,53.52
277,0,0,191,0,968,856,28,25.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
144,0,175,158,18,943,844,28,15.42
356,0,142,193,11,801,778,28,40.87
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
531.3,0,0,141.8,28.2,852.1,893.7,91,59.2
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
102,153,0,192,0,887,942,90,25.46
250,180,95,159,9.5,860,800,28,67.87
154,144,112,220,10,923,658,28,16.5
475,0,0,228,0,932,594,365,41.93
305.3,203.5,0,203.5,0,965.4,631,7,25.89
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
339,0,0,185,0,1069,754,28,31.84
288,192,0,192,0,932,717.8,90,50.53
374,189.2,0,170.1,10.1,926.1,756.7,91,64.9
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
266,114,0,228,0,932,670,365,52.91
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
376,0,0,214.6,0,1003.5,762.4,100,43.06
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
500,0,0,200,0,1125,613,3,26.06
288.4,121,0,177.4,7,907.9,829.5,28,42.14
254,0,0,198,0,968,863,365,29.79
307,0,0,193,0,968,812,90,32.92
425,106.3,0,151.4,18.6,936,803.7,3,36.3
275,180,120,162,10.4,830,765,28,76.24
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
375,93.8,0,126.6,23.4,852.1,992.6,3,29
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.7
238.1,0,94.1,186.7,7,949.9,847,14,25.69
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2
339,0,0,197,0,968,781,365,38.89
389.9,189,0,145.9,22,944.7,755.8,56,79.4
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.1
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
281,0,0,185,0,1104,774,28,22.44
439,177,0,186,11.1,884.9,707.9,28,66
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
342,38,0,228,0,932,670,365,56.14
401.8,94.7,0,147.4,11.4,946.8,852.1,7,54.1
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
288,121,0,177,7,908,829,28,42.13
236,157,0,192,0,972.6,749.1,90,47.78
284,15,141,179,5.5,842,801,56,44.52
525,0,0,189,0,1125,613,270,67.11
142,167,130,174,11,883,785,28,44.61
288,192,0,192,0,932,717.8,3,16.11
446,24,79,162,11.6,967,712,3,25.02
300,0,0,184,0,1075,795,28,26.85
139.6,209.4,0,192,0,1047,806.9,3,8.06
202,11,141,206,1.7,942,801,3,9.85
203.5,305.3,0,203.5,0,963.4,630,28,41.68
323.7,282.8,0,183.8,10.3,942.7,659.9,56,80.2
307,0,0,193,0,968,812,365,36.15
273,0,90,199,11,931,762,28,32.24
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
339,0,0,197,0,968,781,7,20.97
149,118,92,183,7,953,780,28,23.52
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
332.5,142.5,0,228,0,932,594,365,41.05
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.6
236,0,0,193,0,968,885,7,9.99
210.7,316.1,0,185.7,0,977,689.3,7,21.82
316.1,210.7,0,185.7,0,977,689.3,7,24.44
116,173,0,192,0,909.8,891.9,7,10.09
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
314,145,113,179,8,869,690,28,46.23
393,0,0,192,0,940,758,28,39.58
332.5,142.5,0,228,0,932,594,90,37.72
491,26,123,201,3.9,822,699,3,29.55
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
164,163,128,197,8,961,641,28,27.23
439,177,0,186,11.1,884.9,707.9,7,56.1
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
389.9,189,0,145.9,22,944.7,755.8,7,59.09
520,0,0,175,5.2,870,805,28,51.02
190,190,0,228,0,932,670,270,50.66
155,0,143,193,9,1047,697,28,12.46
277,117,91,191,7,946,666,28,43.57
200,133,0,192,0,965.4,806.2,28,30.44
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
238.1,0,94.1,186.7,7,949.9,847,100,44.3
305.3,203.5,0,203.5,0,965.4,631,3,14.14
149,153,194,192,8,935,623,28,24.58
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
387,20,94,157,11.6,938,845,56,61.46
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
313,161,0,178,10,917,759,28,52.44
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
141.3,212,0,203.5,0,971.8,748.5,28,29.89
331,0,0,192,0,978,825,360,41.24
480,0,0,192,0,936.2,712.2,28,43.94
382,0,0,186,0,1047,739,7,24
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
152,178,139,168,18,944,695,28,36.35
116,173,0,192,0,909.8,891.9,28,22.35
450.1,50,0,200,3,1124.4,613.2,28,39.38
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
297,0,0,186,0,1040,734,7,30.96
284,15,141,179,5.5,842,801,3,13.4
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
427.5,47.5,0,228,0,932,594,7,35.08
157,236,0,192,0,935.4,781.2,7,16.89
212,141.3,0,203.5,0,973.4,750,3,6.81
322,0,116,196,10,818,813,28,31.18
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
225,0,0,181,0,1113,833,28,17.34
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
425,106.3,0,151.4,18.6,936,803.7,28,61.8
295.7,0,95.6,171.5,8.9,955.1,859.2,14,35.23
310,0,0,192,0,971,850.6,3,9.87
332.5,142.5,0,228,0,932,594,7,30.28
333,0,0,192,0,931.2,842.6,3,15.62
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
102,153,0,192,0,887,942,28,17.28
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
400,0,0,187,0,1025,745,7,30.14
277,0,0,191,0,968,856,14,21.26
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32
313.3,145,0,178.5,8,867.2,824,28,40.93
296,0,0,192,0,1085,765,28,21.65
151,0,185,167,16,1074,678,28,13.46
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
290.4,0,96.2,168.1,9.4,961.2,865,14,34.67
108.3,162.4,0,203.5,0,938.2,849,3,2.33
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
339,0,0,197,0,968,781,28,32.04
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
397,0,0,185,0,1040,734,28,39.09
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
380,95,0,228,0,932,594,7,32.82
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
237.5,237.5,0,228,0,932,594,90,33.12
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
331,170,0,195,8,811,802,28,56.61
500,0,0,200,0,1125,613,270,55.16
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
275,0,0,183,0,1088,808,28,24.5
331,0,0,192,0,1025,821,120,39.38
133,200,0,192,0,927.4,839.2,3,6.88
300,0,0,184,0,1075,795,7,15.58
122.6,183.9,0,203.5,0,958.2,800.1,90,33.19
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
203.5,305.3,0,203.5,0,963.4,630,3,9.56
439,177,0,186,11.1,884.9,707.9,3,39.3
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
339,0,0,197,0,968,781,90,35.17
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
192,288,0,192,0,929.8,716.1,90,50.73
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
385,0,136,158,20,903,768,28,55.55
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
255,99,77,189,6,919,749,28,33.8
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
334,17.6,158,189,15.3,967,633,28,44.33
380,0,0,228,0,932,670,270,53.3
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
108.3,162.4,0,203.5,0,938.2,849,28,20.59
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
350,0,0,203,0,974,775,90,31.35
525,0,0,189,0,1125,613,90,58.78
141.3,212,0,203.5,0,971.8,748.5,7,10.39
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
349,0,0,192,0,1047,806.9,3,15.05
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
405,0,0,175,0,1120,695,28,52.3
203.5,305.3,0,203.5,0,963.4,630,7,19.54
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
516,0,0,162,8.2,801,802,28,41.37
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
158,0,195,220,11,898,713,28,8.54
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
379.5,151.2,0,153.9,15.9,1134.3,605,56,54.9
322,0,0,203,0,974,800,180,29.59
333,0,0,192,0,931.2,842.6,90,41.68
350,0,0,203,0,974,775,180,32.72
